Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
DOMANE AL,2016-12-15 00:00:00,Domane ISO speed,RD,44 - 62 (9),15.12.2016,TREK-047-RD,TREK-047-RD,2019-09-01 14:15:20
CROCKETT MY2018 DISC,2016-12-15 00:00:00,carbon disc, , , , , ,2019-09-01 14:15:20
DOMANE SL MY2018,2016-12-15 00:00:00,"ISO Speed full carbon,", , , , , ,2019-09-01 14:15:20
EMONDA SLR MY2018,2016-12-15 00:00:00,EMONDA SLR MY2018, , , , , ,2019-09-01 14:15:20
XNIGHT DISC 7E1,2016-12-14 00:00:00, , , , , , ,2019-09-01 14:15:20
OLTRE XR3,2016-12-13 00:00:00,OLTRE XR3,RD,470 - 610 (7),13.12.2016,BIAN-OL3-RD,BIAN-OL3-RD,2019-09-01 14:15:20
ARIA,2016-12-13 00:00:00,ARIA,RD,440 - 610 (8),13.12.2016,BIAN-ARIA-RD,BIAN-ARIA-RD,2019-09-01 14:15:20
COMET  XENON,2016-12-12 00:00:00,Comet / Xenon,RD,50 - 60 (6),12.12.2016,STEV-CO-RD,STEV-CO-RD,2019-09-01 14:15:20
COMETXENON DISC 17,2016-12-12 00:00:00,Comet/Xenon Disc 17,RD,50 - 60 (6),12.12.2016,STEV-COD2-RD,STEV-COD2-RD,2019-09-01 14:15:20
TERE,2016-12-12 00:00:00,TERE,RD,495 - 575 (5),12.12.2016,CHA2-TERE-RD,CHA2-TERE-RD,2019-09-01 14:15:20
ORCA OMR DISC 17,2016-12-08 00:00:00,ORCA OMR DISC 17,RD,47 - 60 (7),08.12.2016,ORB-ORC6-RD,ORB-ORC6-RD,2019-09-01 14:15:20
ENDURACE WMN AL,2016-11-24 00:00:00,RD,CANY-F042-RD, , , , ,2019-09-01 14:15:20
TEAMMACHINE DISC,2016-11-24 00:00:00,Teammachine Disc,Teammachine Disc RD,47 - 61 (6),24.11.2016,BMC-SLRD-RD,BMC-SLRD-RD,2019-09-01 14:15:20
TEAMMACHINE RIM,2016-11-24 00:00:00,Teammachine Rim,Teammachine Rim RD,47 - 61 (6),24.11.2016,BMC-SLRR-RD,BMC-SLRR-RD,2019-09-01 14:15:20
SUPERSLICE DISC  RIM,2016-11-17 00:00:00,SuperSlice disc & rim,TT,50 - 58 (5),17.11.2016,CANN-SSLI-TT,CANN-SSLI-TT,2019-09-01 14:15:20
VOLANT,2016-10-31 00:00:00,VOLANT,RD,XXS - M (4),31.10.2016,INF-VOL-RD,INF-VOL-RD,2019-09-01 14:15:20
HELIUM SLX,2016-10-31 00:00:00,Helium SLX, , , , , ,2019-09-01 14:15:20
LEGGERO MY 2017,2016-10-27 00:00:00,LEGGERO MY 2017,RD,46 - 61 (6),27.10.2016,COND-L2-RD,COND-L2-RD,2019-09-01 14:15:20
LEGGERO SL MY 2017,2016-10-27 00:00:00,LEGGERO SL MY 2017,RD,46 - 61 (6),27.10.2016,COND-L2SL-RD,COND-L2SL-RD,2019-09-01 14:15:20
BOSON DISC,2016-10-26 00:00:00,BOSON DISC,RD,49 - 61 (5),26.10.2016,ISA-BOS-RD,ISA-BOS-RD,2019-09-01 14:15:20
BOSON,2016-10-26 00:00:00,BOSON,RD,49 - 61 (5),26.10.2016,ISA-BOS-RD,ISA-BOS-RD,2019-09-01 14:15:20
GALLIUM PRO CALIPER,2016-10-25 00:00:00, , , , , , ,2019-09-01 14:15:20
AR01,2016-10-03 00:00:00,CM58,RD,XS - XL (5),03.10.2016,POD-AR01-RD,POD-AR01-RD,2019-09-01 14:15:20
ENDURACE WMN CFSL,2016-09-29 00:00:00,RD,CANY-F38-RD, , , , ,2019-09-01 14:15:20
CORSA SL DISC,2016-09-29 00:00:00,CORSA SL DISC,RD,S - XL (6),29.09.2016,AVNT-CSLD-RD,AVNT-CSLD-RD,2019-09-01 14:15:20
ULTIMATE WMN CFSLX,2016-09-29 00:00:00,RD,CANY-F38-RD, , , , ,2019-09-01 14:15:20
ADDICT DISC,2016-09-28 00:00:00,ADDICT DISC,RD,47 - 61 (7),28.09.2016,SCOT-ADDC-RD,SCOT-ADDC-RD,2019-09-01 14:15:20
ROAD1,2016-09-27 00:00:00,Road1,RD,48 - 58 (5),27.09.2016,FARA-RD1-RD,FARA-RD1-RD,2019-09-01 14:15:20
DOGMA F8 DISK,2016-09-26 00:00:00,DOGMA F8 DISK,RD,440 - 620 (11),26.09.2016,PINA-DF8D-RD,PINA-DF8D-RD,2019-09-01 14:15:20
GAN DISK,2016-09-26 00:00:00,GAN DISK,RD,425 - 595 (14),26.09.2016,PINA-GAD-RD,PINA-GAD-RD,2019-09-01 14:15:20
GAN K DISK,2016-09-26 00:00:00,GAN K DISK,RD,425 - 590 (7),26.09.2016,PINA-GAKD-RD,PINA-GAKD-RD,2019-09-01 14:15:20
DOGMA K8S DISK,2016-09-26 00:00:00,DOGMA K8-S DISK,RD,440 - 595 (10),26.09.2016,PINA-K8SD-RD,PINA-K8SD-RD,2019-09-01 14:15:20
GALLIUM PRO DISC,2016-09-21 00:00:00, , , , , , ,2019-09-01 14:15:20
DIAMANTE SV,2016-09-08 00:00:00,DIAMANTE SV,RD,45 - 61 (7),08.09.2016,BAS-DISV-RD,BAS-DISV-RD,2019-09-01 14:15:20
LITENING DISC 17,2016-08-31 00:00:00,LITENING DISC 17, , , , , ,2019-09-01 14:15:20
CAYIN MKIII,2016-08-29 00:00:00,CAYIN MKIII,RD,440 - 530 (5),29.08.2016,VGL-CAY3-RD,VGL-CAY3-RD,2019-09-01 14:15:20
SOLAIR MY2017,2016-08-29 00:00:00,SOLAIR MY2017,RD,440 - 530 (5),29.08.2016,VGL-SO17-RD,VGL-SO17-RD,2019-09-01 14:15:20
SCARLATTI,2016-08-29 00:00:00,SCARLATTI,RD,440 - 530 (5),29.08.2016,VGL-SCAR-RD,VGL-SCAR-RD,2019-09-01 14:15:20
DOGMA F10,2016-08-29 00:00:00,Dogma F10, , , , , ,2019-09-01 14:15:20
BOONE CYCLOCROSS,2016-08-25 00:00:00,ISO Speed cross, , , , , ,2019-09-01 14:15:20
SUPERX,2016-08-18 00:00:00,SuperX,CX,46 - 61 (6),18.08.2016,CANN-SUPX-CX,CANN-SUPX-CX,2019-09-01 14:15:20
R10,2016-08-18 00:00:00,R10,RD,XS - L (4),18.08.2016,RID-R10-RD,RID-R10-RD,2019-09-01 14:15:20
XTRAIL,2016-08-18 00:00:00,X-TRAIL,RD,XXS - XL (6),18.08.2016,RID-XTR-RD,RID-XTR-RD,2019-09-01 14:15:20
ULTIMATE AL SLX R33,2016-08-17 00:00:00, , , , , , ,2019-09-01 14:15:20
785,2016-08-11 00:00:00,785F,RD,XS - XL (5),11.08.2016,LOOK-785-RD,LOOK-785-RD,2019-09-01 14:15:20
FR,2016-07-29 00:00:00,FR,RD,43 - 61 (7),29.07.2016,FELT-FR-RD,FELT-FR-RD,2019-09-01 14:15:20
TXT SR,2016-07-29 00:00:00,TXT SR,TR,XS - L (4),29.07.2016,WIA-TXSR-TR,WIA-TXSR-TR,2019-09-01 14:15:20
FR DISC,2016-07-29 00:00:00,FR Disc,RD,43 - 61 (7),29.07.2016,FELT-FRD-RD,FELT-FRD-RD,2019-09-01 14:15:20
TD054S,2016-07-29 00:00:00,TR,L - XXL (2), , , , ,2019-09-01 14:15:20
CONCEPT,2016-07-26 00:00:00,CONCEPT,RD,42s - 58s (8),26.07.2016,COLN-CONC-RD,COLN-CONC-RD,2019-09-01 14:15:20
RAN RS,2016-07-06 00:00:00,K-21,RD,XS - XL (5),06.07.2016,DEDA-RARS-RD,DEDA-RARS-RD,2019-09-01 14:15:20
ARENA TT,2016-06-29 00:00:00,ARENA TT,TR,51 - 53 (3),29.06.2016,RID-ARTT-TR,RID-ARTT-TR,2019-09-01 14:15:20
T9,2016-06-29 00:00:00,T9,TR,510 - 580 (4),29.06.2016,PARD-T9-TR,PARD-T9-TR,2019-09-01 14:15:20
DEAN MY 2016,2016-06-29 00:00:00,DEAN MY 2016,TT,XXS - L (5),29.06.2016,RID-DE16-TT,RID-DE16-TT,2019-09-01 14:15:20
AEROFLYER,2016-06-29 00:00:00,AEROFLYER,TT,S - L (3),29.06.2016,ROSE-AERO-TT,ROSE-AERO-TT,2019-09-01 14:15:20
P7 TT,2016-06-29 00:00:00,P7 TT,TT,500 - 560 (4),29.06.2016,PARD-P7-TT,PARD-P7-TT,2019-09-01 14:15:20
ORCA RIM BRAKE,2016-06-21 00:00:00,ORCA RIM BRAKE,RD,47 - 60 (7),21.06.2016,ORB-ORC5-RD,ORB-ORC5-RD,2019-09-01 14:15:20
LIGERO,2016-05-31 00:00:00,LIGERO,RD,XXS - L (5),31.05.2016,WIA-LIG-RD,WIA-LIG-RD,2019-09-01 14:15:20
TXT,2016-05-31 00:00:00,TXT,TR,XS - L (4),31.05.2016,WIA-TXT-TR,WIA-TXT-TR,2019-09-01 14:15:20
S3 DISC,2016-05-30 00:00:00,RD,CERV-FK52-RD, , , , ,2019-09-01 14:15:20
MR1S,2016-05-30 00:00:00,MR1S,RD,450 - 610 (7),30.05.2016,DARE-MR1S-RD,DARE-MR1S-RD,2019-09-01 14:15:20
ELECTRON PRO,2016-05-26 00:00:00,ELECTRON PRO,TR,XXS - L (5),26.05.2016,AR18-ELP-TR,AR18-ELP-TR,2019-09-01 14:15:20
RUBY,2016-05-19 00:00:00,RUBY,RD,48 - 58 (5),19.05.2016,SPE-RUBY-RD,SPE-RUBY-RD,2019-09-01 14:15:20
V1R DISC,2016-05-19 00:00:00,V1-R Disc,RD,420 - 580 (8),19.05.2016,COLN-V1RD-RD,COLN-V1RD-RD,2019-09-01 14:15:20
DOMANE ALR CALIPER,2016-05-19 00:00:00,Fork Composite, , , , , ,2019-09-01 14:15:20
R890 NEW SUPER,2016-05-19 00:00:00,R890 NEW SUPER, , , , , ,2019-09-01 14:15:20
B16,2016-05-17 00:00:00,B16,TR,XS - L (4),17.05.2016,FES-B16-TR,FES-B16-TR,2019-09-01 14:15:20
LUGANO 68,2016-05-17 00:00:00,LUGANO 68,TT,S - XL (4),17.05.2016,EMC-LU68-TT,EMC-LU68-TT,2019-09-01 14:15:20
B16TT,2016-05-17 00:00:00,B16-TT,TR,B16-5 (1),17.05.2016,FES-B16T-TR,FES-B16T-TR,2019-09-01 14:15:20
BOLIDE TT,2016-05-13 00:00:00,BOLIDE TT,TT,450 - 550 (4),13.05.2016,PINA-BOTT-TT,PINA-BOTT-TT,2019-09-01 14:15:20
ROUBAIX 17,2016-05-12 00:00:00,ROUBAIX 17,RD,49 - 64 (12),12.05.2016,SPE-RB17-RD,SPE-RB17-RD,2019-09-01 14:15:20
G7 DISC,2016-04-22 00:00:00,G7 Disc,RD,54 - 58 (4),22.04.2016,BHB-G7D-RD,BHB-G7D-RD,2019-09-01 14:15:20
AVANT OMP 17,2016-04-22 00:00:00,AVANT OMP 17,RD,47 - 60 (7),22.04.2016,ORB-AV17-RD,ORB-AV17-RD,2019-09-01 14:15:20
NOAH SL DISC,2016-04-22 00:00:00,Noah SL Disc,RD,XXS - L (5),22.04.2016,RID-NSLD-RD,RID-NSLD-RD,2019-09-01 14:15:20
FENIX SL DISC,2016-04-22 00:00:00,Fenix SL Disc, , , , , ,2019-09-01 14:15:20
VENGE VIAS DISC,2016-04-22 00:00:00,VENGE VIAS DISC,RD,49 - 61 (8),22.04.2016,SPE-VEVD-RD,SPE-VEVD-RD,2019-09-01 14:15:20
AEROAD CF SLX DISC,2016-04-21 00:00:00, , , , , , ,2019-09-01 14:15:20
RL8 MY 2017,2016-04-21 00:00:00,RL8 MY 2017, , , , , ,2019-09-01 14:15:20
VENTOX.3,2016-04-21 00:00:00,VentoX.3,RD,50 - 58 (5),21.04.2016,ALEO-VEX3-RD,ALEO-VEX3-RD,2019-09-01 14:15:20
DOMANE ALR DISC,2016-04-21 00:00:00,ISO SPEED FULL, , , , , ,2019-09-01 14:15:20
MARCELLO LEGGERO,2016-04-20 00:00:00,HP3,RD,45 - 61 (7),20.04.2016,RAIK-MAL-RD,RAIK-HP3-RD,2019-09-01 14:15:20
GIRO C,2016-04-20 00:00:00,GIRO C,RD,50.5 - 60 (7),20.04.2016,AVNT-GIC-RD,AVNT-GIC-RD,2019-09-01 14:15:20
ERAKLE AIR,2016-04-20 00:00:00,CM58,RD,XS - XL (5),20.04.2016,POD-ERA-RD,POD-ERA-RD,2019-09-01 14:15:20
TIMEMACHINE 2,2016-04-18 00:00:00,Timemachine 2,Timemachine 2 TT,S - L (4),18.04.2016,BMC-TIM2-TT,BMC-TIM2-TT,2019-09-01 14:15:20
HELIOS L SERIES,2016-04-18 00:00:00,Helios L,RD,465 - 600 (6),18.04.2016,PTIS-HELS-RD,PTIS-HELS-RD,2019-09-01 14:15:20
SPEEDMAX CF R41,2016-04-18 00:00:00,F39,TT,XS-XL (5),18.04.2016,CANY-R41-TT,CANY-F39-TT,2019-09-01 14:15:20
Z112,2016-04-18 00:00:00,Z112,TT,45 - 56 (5),18.04.2016,ZAN-Z112-TT,ZAN-Z112-TT,2019-09-01 14:15:20
Z82,2016-04-08 00:00:00,Z82,RD,45 - 58 (6),08.04.2016,ZAN-Z82-RD,ZAN-Z82-RD,2019-09-01 14:15:20
C5 AERO,2016-04-08 00:00:00,C5 Aero,RD,480 - 580 (5),08.04.2016,PARD-C5A-RD,PARD-C5A-RD,2019-09-01 14:15:20
SUPERSIX EVO 2 DISC,2016-04-07 00:00:00,SuperSix EVO 2 Disc,RD,44 - 63 (9),07.04.2016,CANN-SE2D-RD,CANN-SE2D-RD,2019-09-01 14:15:20
SL DISC,2016-04-07 00:00:00,SL Disc,RD,460 - 610 (7),07.04.2016,FUJI-SLDI-RD,FUJI-SLDI-RD,2019-09-01 14:15:20
SYNAPSE DISC,2016-04-07 00:00:00,Synapse Disc,RD,48 - 61 (6),07.04.2016,CANN-SYDI-RD,CANN-SYDI-RD,2019-09-01 14:15:20
QRL,2016-04-06 00:00:00,QRL,RD,S - XL (5),06.04.2016,QUIN-QRL-RD,QUIN-QRL-RD,2019-09-01 14:15:20
KAPP,2016-04-06 00:00:00,KAPP,RD,450 - 600 (8),06.04.2016,NOR-KAPP-RD,NOR-KAPP-RD,2019-09-01 14:15:20
AXINO,2016-03-30 00:00:00,AXINO,RD,48 - 54 (3),30.03.2016,BLUE-AXI-RD,BLUE-AXI-RD,2019-09-01 14:15:20
OLTRE XR4 CV,2016-03-23 00:00:00,OLTRE XR4 CV,RD,440 - 610 (8),23.03.2016,BIAN-OL4-RD,BIAN-OL4-RD,2019-09-01 14:15:20
ADRENALINE SL,2016-03-23 00:00:00, , , , , , ,2019-09-01 14:15:20
EM525 DISC,2016-03-23 00:00:00,EM525 disc,RD,XS - XL (5),23.03.2016,EMC-525D-RD,EMC-525D-RD,2019-09-01 14:15:20
DEFY ADV SL DISC,2016-03-22 00:00:00,RD,XS - XL (6),XS - XL (6), , , ,2019-09-01 14:15:20
SOLACE,2016-03-18 00:00:00,Solace,RD,49 - 58 (5),18.03.2016,SCOT-SOL-RD,SCOT-SOL-RD,2019-09-01 14:15:20
ORCA OME 17,2016-03-14 00:00:00,ORCA OME 17,RD,47 - 60 (7),14.03.2016,ORB-ORC4-RD,ORB-ORC4-RD,2019-09-01 14:15:20
REACTO LITE,2016-03-14 00:00:00,REACTO LITE,RD,470 - 590 (6),14.03.2016,MERI-RELI-RD,MERI-RELI-RD,2019-09-01 14:15:20
REACTO TRACK,2016-03-14 00:00:00,REACTO TRACK,TR,47 - 59 (6),14.03.2016,MERI-RETR-TR,MERI-RETR-TR,2019-09-01 14:15:20
SCULTURA LITE 4,2016-03-14 00:00:00,SCULTURA LITE 4,RD,440 - 590 (7),14.03.2016,MERI-SCL4-RD,MERI-SCL4-RD,2019-09-01 14:15:20
SCULTURA LITE DISC,2016-03-14 00:00:00,SCULTURA LITE DISC,RD,440 - 590 (7),14.03.2016,MERI-SCLD-RD,MERI-SCLD-RD,2019-09-01 14:15:20
ULTIMATE CF SL DISC,2016-02-26 00:00:00, , , , , , ,2019-09-01 14:15:20
ULTIMATE CF SLX DISC,2016-02-26 00:00:00, , , , , , ,2019-09-01 14:15:20
ENDURACE CF SLX R36,2016-02-25 00:00:00,One One Four SLX Disc F38,RD,XXS - XXL (7),25.02.2016,CANY-R36-RD,CANY-F38-RD,2019-09-01 14:15:20
ENDURACE CF SL R054,2016-02-25 00:00:00,One One Four SLX Disc F38,RD,XXS - XXL (7),25.02.2016,CANY-R054-RD,CANY-F38-RD,2019-09-01 14:15:20
TACTIC DISC,2016-02-24 00:00:00,TACTIC DISC,RD,48 - 60.5 (6),24.02.2016,NORC-TADI-RD,NORC-TADI-RD,2019-09-01 14:15:20
TF1,2016-02-24 00:00:00,STR01,RD,XXS - XXL (7),24.02.2016,FOND-TF1-RD,FOND-TF1-RD,2019-09-01 14:15:20
XEON CW,2016-02-23 00:00:00,XEON CW, , , , , ,2019-09-01 14:15:20
LAILAPS,2016-02-23 00:00:00,RD,MTOO-LAIL-RD,MTOO-LAIL-RD, , , ,2019-09-01 14:15:20
XEON CRS,2016-02-22 00:00:00,XEON CRS, , , , , ,2019-09-01 14:15:20
QICYCLE R1,2016-02-22 00:00:00,Qicycle R1,RD,S - L (3),22.02.2016,IRID-QR1-RD,IRID-QR1-RD,2019-09-01 14:15:20
PISTA PURSUIT,2016-02-17 00:00:00,Pista Pursuit,TR,XS-S - XL (4),17.02.2016,AVNT-PIPU-TR,AVNT-PIPU-TR,2019-09-01 14:15:20
CTIME,2016-02-17 00:00:00,C-Time,TT,520 - 560 (3),17.02.2016,CORR-CTIM-TT,CORR-CTIM-TT,2019-09-01 14:15:20
TA FRD,2016-02-17 00:00:00,TA FRD,TR,55,17.02.2016,FELT-TAFR-TR,FELT-TAFR-TR,2019-09-01 14:15:20
TD054,2016-01-28 00:00:00,TR,XS - XXL (6), , , , ,2019-09-01 14:15:20
TIMEMACHINE 1,2016-01-28 00:00:00,Timemachine 1,Timemachine 1 TT,S - L (4),28.01.2016,BMC-TIM1-TT,BMC-TIM1-TT,2019-09-01 14:15:20
O2,2016-01-28 00:00:00,FK-03,RD,49 - 61 (6),28.01.2016,FACT-O2-RD,FACT-O2-RD,2019-09-01 14:15:20
CENTO10AIR,2016-01-20 00:00:00,CENTO10AIR /, , , , , ,2019-09-01 14:15:20
Kimera Track Fork,2016-01-20 00:00:00,Kimera Track Fork,TR,/,20.01.2016,/,KOGA-KIM-TR,2019-09-01 14:15:20
TCR ADV SL DISC MY17,2016-01-19 00:00:00,TCR Adv SL disc MY17,RD,XS - XL (6),19.01.2016,GIAN-RS17-RD,GIAN-RS17-RD,2019-09-01 14:15:20
TCR ADV PRO DISC,2016-01-19 00:00:00, , , , , , ,2019-09-01 14:15:20
TARMAC DISC,2016-01-19 00:00:00,TARMAC DISC,RD,49 - 60 (6),19.01.2016,SPE-TADI-RD,SPE-TADI-RD,2019-09-01 14:15:20
ECLIPSE 6414,2016-01-14 00:00:00,ECLIPSE 64-14,RD,XS - XL (5),14.01.2016,GUER-ECL-RD,GUER-ECL-RD,2019-09-01 14:15:20
SCULTURA DISC CF4,2015-12-18 00:00:00,EGM-FK-18,RD,440 - 590 (7),18.12.2015,MERI-SCD4-RD,MERI-SCD4-RD,2019-09-01 14:15:20
SCULTURA DISC CF2,2015-12-18 00:00:00,FK-CF1638D,RD,440 - 590 (7),18.12.2015,MERI-SCD2-RD,MERI-SCD2-RD,2019-09-01 14:15:20
SCULTURA CF2,2015-12-18 00:00:00,FK-CF1638,RD,440 - 590 (7),18.12.2015,MERI-SCU2-RD,MERI-SCU2-RD,2019-09-01 14:15:20
ULTRA,2015-12-11 00:00:00,ULTRA,TR,51 - 61 (6),11.12.2015,BT-ULT-TR,BT-ULT-TR,2019-09-01 14:15:20
OMNIUM,2015-12-11 00:00:00,OMNIUM,TR,490 - 560 (4),11.12.2015,JORB-OMN-TR,JORB-OMN-TR,2019-09-01 14:15:20
AEROSTORM DRAG,2015-12-11 00:00:00,AEROSTORM DRAG,TT,S - L (3),11.12.2015,LAPI-AER3-TT,LAPI-AER3-TT,2019-09-01 14:15:20
KET8,2015-12-11 00:00:00,KE-FT8/S,TT,S - XL (4),11.12.2015,KEMO-KET8-TT,KEMO-KET8-TT,2019-09-01 14:15:20
BLOCKHAUS 67,2015-12-09 00:00:00,BLOCKHAUS 67,RD,XS - XL (5),09.12.2015,EMC-BL67-RD,EMC-BL67-RD,2019-09-01 14:15:20
MILANO 72,2015-12-08 00:00:00,MILANO 72,RD,XXS - L (5),08.12.2015,EMC-MI72-RD,EMC-MI72-RD,2019-09-01 14:15:20
ELEMENT DISC,2015-12-07 00:00:00,Element Disc /, , , , , ,2019-09-01 14:15:20
ORCA DISC 2016,2015-11-17 00:00:00,ORCA DISC 2016,RD,47 - 60 (7),17.11.2015,ORB-ORC3-RD,ORB-ORC3-RD,2019-09-01 14:15:20
NK1K,2015-11-12 00:00:00,NK1K,RD,XXS - XXL (7),12.11.2015,DIAM-NK1K-RD,DIAM-NK1K-RD,2019-09-01 14:15:20
GENNIX A1,2015-11-11 00:00:00,Gennix A UNI-T,RD,XS - XXL (6),11.11.2015,GARN-GNA1-RD,GARN-GNA1-RD,2019-09-01 14:15:20
BELADOR 3.0,2015-11-09 00:00:00,BLADE 3.0,RD,XS - XL (5),09.11.2015,BERR-BEL3-RD,BERR-BEL3-RD,2019-09-01 14:15:20
VIDEPRO,2015-11-06 00:00:00,VIDE-pro,RD,45 - 54 (4),06.11.2015,BOMA-VIDE-RD,BOMA-VIDE-RD,2019-09-01 14:15:20
VV2  ONES  ONE,2015-11-03 00:00:00,VV2 / FK-01 / FK-02,RD,51 - 61 (5),03.11.2015,FACT-VV2-RD,FACT-VV2-RD,2019-09-01 14:15:20
ROADMACHINE 12,2015-10-30 00:00:00,Roadmachine 1+2, , , , , ,2019-09-01 14:15:20
ALLEZ SPRINT X2,2015-10-28 00:00:00,ALLEZ SPRINT X2,RD,49 - 61 (6),28.10.2015,SPE-ASX2-RD,SPE-ASX2-RD,2019-09-01 14:15:20
ALLEZ SPRINT X1,2015-10-28 00:00:00,ALLEZ SPRINT X1,RD,49 - 61 (6),28.10.2015,SPE-ASX1-RD,SPE-ASX1-RD,2019-09-01 14:15:20
CARBONEX HR,2015-10-27 00:00:00,CARBONEX HR,RD,XXS - M (4),27.10.2015,YON-CAHR-RD,YON-CAHR-RD,2019-09-01 14:15:20
MR T 2015,2015-10-26 00:00:00,MR T 2015,TT,XS - XL (5),26.10.2015,SIMP-MRT2-TT,SIMP-MRT2-TT,2019-09-01 14:15:20
SPEEDMAX CF SLX R40,2015-10-26 00:00:00,F32,TT,S / M / L (3),26.10.2015,CANY-R40-TT,CANY-F32-TT,2019-09-01 14:15:20
SILQUE SLR MY 2017,2015-10-19 00:00:00,SILQUE SLR MY 2017, , , , , ,2019-09-01 14:15:20
PISTA,2015-09-15 00:00:00,PISTA,TR,440 - 550 (4),15.09.2015,BAS-PIST-TR,BAS-PIST-TR,2019-09-01 14:15:20
AVIND,2015-09-15 00:00:00,AVIND,TT,470 - 560 (5),15.09.2015,NOR-AVIN-TT,NOR-AVIN-TT,2019-09-01 14:15:20
HYPERVOX,2015-09-08 00:00:00,Hypervox,RD,XXS - XL (6),08.09.2015,SCT-HVOX-RD,SCT-HVOX-RD,2019-09-01 14:15:20
RR AERO,2015-09-08 00:00:00,RR AERO,RD,500 - 570 (3),08.09.2015,WHIT-RRAE-RD,WHIT-RRAE-RD,2019-09-01 14:15:20
V733,2015-08-27 00:00:00,V733,RD,XS - XL (5),27.08.2015,GOOM-V733-RD,GOOM-V733-RD,2019-09-01 14:15:20
LITENING15,2015-08-27 00:00:00,LITENING-15,RD,50 - 62 (7),27.08.2015,CUBE-LI15-RD,CUBE-LI15-RD,2019-09-01 14:15:20
FLATMOUNT,2015-08-13 00:00:00,Flatmount, , , , , ,2019-09-01 14:15:20
FOCUS MARES CX DISC,2015-08-12 00:00:00,FOCUS Mares CX Disc, , , , , ,2019-09-01 14:15:20
R886 NICK,2015-08-12 00:00:00,R886 NICK,RD,462 - 545 (5),12.08.2015,DER-NICK-RD,DER-NICK-RD,2019-09-01 14:15:20
RS9,2015-08-11 00:00:00,RS9, , , , , ,2019-09-01 14:15:20
RS6,2015-08-11 00:00:00,RS6,RD,43 - 55 (5),11.08.2015,BSC-RS6-RD,BSC-RS6-RD,2019-09-01 14:15:20
FOCUS IZALCO MAX,2015-08-05 00:00:00,FOCUS Izalco MAX, , , , , ,2019-09-01 14:15:20
FOCUS CAYO DISC,2015-08-05 00:00:00,FOCUS CAYO Disc, , , , , ,2019-09-01 14:15:20
RQC38,2015-06-24 00:00:00,RC58S,RD,460 - 580 (5),24.06.2015,GGC-QC38-RD,GGC-C58S-RD,2019-09-01 14:15:20
EQUIPE TR,2015-06-19 00:00:00,EQUIPE TR,TR,49 --56 (4),19.06.2015,AQU-EQTR-TR,AQU-EQTR-TR,2019-09-01 14:15:20
SUPERSIX EVO 2,2015-06-19 00:00:00,SuperSix EVO 2,RD,48 - 63 (8),19.06.2015,CANN-S6E2-RD,CANN-S6E2-RD,2019-09-01 14:15:20
P1,2015-06-19 00:00:00,PF-1,TR,490 - 580 (4),19.06.2015,COM-P1-TR,COM-P1-TR,2019-09-01 14:15:20
TRINITY ADV PRO MY16,2015-05-28 00:00:00,Trinity Adv Pro MY16,TT,XS - L (4),28.05.2015,GIAN-TRIN-TT,GIAN-TRIN-TT,2019-09-01 14:15:20
796,2015-05-28 00:00:00,796F,TT,XS-S - L-XL (3),28.05.2015,LOOK-796-TT,LOOK-796F-TT,2019-09-01 14:15:20
ORDU 2016,2015-05-28 00:00:00,ORDU 2016,TT,XS - XL (5),28.05.2015,ORB-ORD2-TT,ORB-ORD2-TT,2019-09-01 14:15:20
CORSA ER,2015-05-22 00:00:00,CORSA ER,RD,50.5 - 60 (7),22.05.2015,AVNT-CER-RD,AVNT-CER-RD,2019-09-01 14:15:20
CARBONEX,2015-05-22 00:00:00,CARBONEX,RD,XXS - M (4),22.05.2015,YON-CARB-RD,YON-CARB-RD,2019-09-01 14:15:20
BOLIDE HR,2015-05-21 00:00:00,BOLIDE HR,TR,450 - 580 (4),21.05.2015,PINA-BOHR-TR,PINA-BOHR-TR,2019-09-01 14:15:20
REVELATOR MY16,2015-05-20 00:00:00,F8,RD,49 - 59 (5),20.05.2015,KTM-REV2-RD,KTM-F8-RD,2019-09-01 14:15:20
KALIBUR,2015-04-15 00:00:00,KALIBUR AERO, , , , , ,2019-09-01 14:15:20
E117,2015-04-15 00:00:00,E-117,RD,XS - XL (5),15.04.2015,AR18-E117-TT,AR18-E117-TT,2019-09-01 14:15:20
OBSESSION,2015-04-10 00:00:00,OBSESSION,RD,49 - 58 (5),10.04.2015,CBT-OBS-RD,CBT-OBS-RD,2019-09-01 14:15:20
RADAR,2015-04-10 00:00:00,RADAR,RD,450 - 590 (7),10.04.2015,ELF-RAD-RD,ELF-RAD-RD,2019-09-01 14:15:20
TTC FLAT,2015-04-08 00:00:00,TTC FLAT,TT,450 - 560 (5),08.04.2015,JORB-TTCF-TT,JORB-TTCF-TT,2019-09-01 14:15:20
SPEEDMAX CF R24,2015-04-07 00:00:00, , , , , , ,2019-09-01 14:15:20
MUON MY15,2015-04-02 00:00:00,MUON MY15,TT,49 - 58 (5),02.04.2015,ISA-MU15-TT,ISA-MU15-TT,2019-09-01 14:15:20
ULTIMATE CF EVO R47,2015-03-27 00:00:00,One One Four SLX Evo F37,RD,2XS - 2XL (7),27.03.2015,CANY-R47-RD,CANY-F37-RD,2019-09-01 14:15:20
