Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
CAAD13 DISC,2019-02-13 00:00:00,CAAD13 Disc,RD,44 - 62 (8),13.02.2019,CANN-C13D-RD,CANN-C13D-RD,2019-09-01 14:15:20
B20,2019-02-13 00:00:00,B20,TR,S – XL (4),13.02.2019,FES-B20-TR,FES-B20-TR,2019-09-01 14:15:20
B20TT,2019-02-13 00:00:00,B20-TT,TR,B20-6 (1),13.02.2019,FES-B20T-TR,FES-B20T-TR,2019-09-01 14:15:20
DOGMA FS,2019-02-13 00:00:00,DOGMA FS,RD,530 – 575 (4),13.02.2019,PINA-031-RD,PINA-031-RD,2019-09-01 14:15:20
AERFAST,2019-02-08 00:00:00,Aerfast,RD,XS - XL (5),08.02.2019,STOR-AEF-RD,STOR-AEF-RD,2019-09-01 14:15:20
Time WARP TT2,2019-02-06 00:00:00,Time WARP TT2,FK,-,06.02.2019,-,MERI-TWFK-TT,2019-09-01 14:15:20
VSRU,2019-01-21 00:00:00,VSRu,RD,XXS – XL (6),21.01.2019,DARE-VSRU-RD,DARE-VSRU-RD,2019-09-01 14:15:20
MMR ATTACK DISC,2019-01-20 00:00:00,MMR Attack Disc,CX,S - XXL (5),20.01.2019,MMR-ATTD-RD,MMR-ATTD-RD,2019-09-01 14:15:20
SPRINT DISC,2019-01-20 00:00:00,SPRINT Disc,RD,44-61 (8),20.01.2019,BIAN-SPRD-RD,BIAN-SPRD-RD,2019-09-01 14:15:20
MMR ADRENALINE SLD,2019-01-20 00:00:00,MMR Adrenaline SLD /, , , , , ,2019-09-01 14:15:20
PULSIUM DISC,2019-01-20 00:00:00,PULSIUM Dic,RD,46 - 58 (5),20.01.2019,LAPI-PULD-RD,LAPI-PULD-RD,2019-09-01 14:15:20
AVAIL ADV DISC MY20,2019-01-18 00:00:00,Avail Adv Disc MY20,RD,XXS - L (5),18.01.2019,GIAN-025-RD,GIAN-025-RD,2019-09-01 14:15:20
ASPERO,2019-01-17 00:00:00,ASPERO,CX,48 - 61 (6),17.01.2019,CERV-F137-CX,CERV-FK67-CX,2019-09-01 14:15:20
STEALTH,2019-01-14 00:00:00,FK-STLT,RD,XS-XL (5),14.01.2019,PYTH-STLT-RD,PYTH-STLT-RD,2019-09-01 14:15:20
MESON DISC,2019-01-14 00:00:00,MESON Disc,RD,49 - 61 (5),14.01.2019,ISA-MESD-RD,ISA-MESD-RD,2019-09-01 14:15:20
FIREBIRD CELERRA,2019-01-14 00:00:00,Firebird Celerra,RD,XS – XL (5),14.01.2019,DRAG-CEL-RD,DRAG-CEL-RD,2019-09-01 14:15:20
