,Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
71,SPRINT DISC,2019-01-20 00:00:00,SPRINT Disc,RD,44-61 (8),20.01.2019,BIAN-SPRD-RD,BIAN-SPRD-RD,2020-06-24 20:42:04
72,AVAIL ADV DISC MY20,2019-01-18 00:00:00,RD,Avail Adv Disc MY20,XXS - L (5),18.01.2019,GIAN-025-RD,GIAN-025-RD,2020-06-24 20:42:04
73,ORCA 2020,2019-01-14 00:00:00,ORCA 2020,RD,47 - 60 (7),ORB-ORC9-RD,14.01.2019,ORB-ORC9-RD,2020-06-24 20:42:04
74,STEALTH,2019-01-14 00:00:00,RD,FK-STLT,XS-XL (5),14.01.2019,PYTH-STLT-RD,PYTH-STLT-RD,2020-06-24 20:42:04
75,CROCKETT MY20,2018-12-21 00:00:00,Crockett MY20,CX,47 - 61 (7),21.12.2018,TREK-055-CX,TREK-055-CX,2020-06-24 20:42:04
76,007 ROAD,2018-12-14 00:00:00,RD,007 Road,46 – 58 (5),14.12.2018,AST-007-RD,AST-007-RD,2020-06-24 20:42:04
77,FEROCE DISC,2018-12-14 00:00:00,RD,Feroce Disc,43 – 58 (8),14.12.2018,JAVA-FERD-RD,JAVA-FERD-RD,2020-06-24 20:42:04
78,RONIN  R,2018-12-14 00:00:00,RD,Ronin - R,45 – 52 (5),14.12.2018,KAZE-ROR-RD,KAZE-ROR-RD,2020-06-24 20:42:04
79,AURO,2018-11-30 00:00:00,TT,AURO,XS – L (4),30.11.2018,VITU-AURO-TT,VITU-AURO-TT,2020-06-24 20:42:04
80,DREAMLINE,2018-11-28 00:00:00,RD,DREAMLINE,XS/S/M/L/XL,28.11.2018,ADRI-DRM-RD,ADRI-DRM-RD,2020-06-24 20:42:04
81,HP25,2018-11-27 00:00:00,RD,HP25,47 - 59 (7),27.11.2018,RAIK-HP25-RD,RAIK-HP25-RD,2020-06-24 20:42:04
82,SLIKER PRO,2018-11-27 00:00:00,RD,Sliker Pro,48 – 60 (5),27.11.2018,THOM-SPRO-RD,THOM-SPRO-RD,2020-06-24 20:42:04
83,AJ1 DISC,2018-11-23 00:00:00,RD,AJ-1 Disc,46.5 - 56 (4),23.11.2018,WDN-AJ1D-RD,WDN-AJ1D-RD,2020-06-24 20:42:04
84,Roadmachine 20,2018-11-14 00:00:00,Roadmachine 20,Roadmachine 20 RD,47 - 61 (6),14.11.2018,BMC-RDMA-RD,BMC-RDMA-RD,2020-06-24 20:42:04
85,SPRINT,2018-11-01 00:00:00,SPRINT,RD,44-61 (8),01.11.2018,BIAN-SPR-RD,BIAN-SPR-RD,2020-06-24 20:42:04
86,MR1S DB,2018-10-29 00:00:00,RD,MR1s DB,XXXS – XXL (8),29.10.2018,DARE-MR1D-RD,DARE-MR1D-RD,2020-06-24 20:42:04
87,E118 PROE118 TRI,2018-10-15 00:00:00,TT,E-118 ProE-118 Tri+,XS - XL (5),15.10.2018,AR18-TT06-TT,AR18-TT06-RD,2020-06-24 20:42:04
88,STREAMLINE,2018-10-09 00:00:00,RD,STREAMLINE,XS/S/M/L/XL,09.10.2018,ADRI-STR-RD,ADRI-STR-RD,2020-06-24 20:42:04
89,BTB,2018-10-03 00:00:00,TR,BTB,52 – 62 (6),03.10.2018,DIXI-BTB-TR,DIXI-BTB-TR,2020-06-24 20:42:04
90,FELTARRD,2018-09-27 00:00:00,AR,AR,RD,48 - 61 (6),27.09.2018,FELT-AR-RD,2020-06-24 20:42:04
91,BSC-PRP-TR,2018-09-25 00:00:00,TR,SS - L (4),25.09.2018,BSC-PRP-TR,BSC-PRP-TR,PRP,2020-06-24 20:42:04
92,EMONDA ALR DISC,2018-09-18 00:00:00,Emonda ALR Disc,RD,47 - 64 (9),18.09.2018,TREK-054-RD,TREK-054-RD,2020-06-24 20:42:04
93,EMONDA ALR CALIPER,2018-09-18 00:00:00,Emonda ALR Caliper,RD,44 - 62 (9),18.09.2018,TREK-053-RD,TREK-053-RD,2020-06-24 20:42:04
94,RACE KANON,2018-09-13 00:00:00,RD,Race Kanon,44 - 54 (5),13.09.2018,KAZE-RKAN-RD,KAZE-RKAN-RD,2020-06-24 20:42:04
95,AEROFLIGHT,2018-08-29 00:00:00,RD,AEROFLIGHT,XS - L (4),29.08.2018,YON-AERO-RD,YON-AERO-RD,2020-06-24 20:42:04
96,ZERO LTD,2018-08-20 00:00:00,RD,ZERO LTD,XS - XXL (6),20.08.2018,WIL-ZER3-RD,WIL-ZER3-RD,2020-06-24 20:42:04
97,INFINITO CV DISC,2018-08-17 00:00:00,INFINITO CV DISC,RD,470 - 610 (7),17.08.2018,BIAN-INF3-RD,BIAN-INF3-RD,2020-06-24 20:42:04
98,F TEMPO,2018-08-13 00:00:00,TT,F TEMPO,500 - 560 (4),13.08.2018,FARA-FTP-TT,FARA-FTP-TT,2020-06-24 20:42:04
99,NS1,2018-07-03 00:00:00,RD,NS1,XS - XL (6),03.07.2018,VENT-NS1-RD,VENT-NS1-RD,2020-06-24 20:42:04
100,ZOLDER PRO,2018-05-30 00:00:00,CX,ZOLDER PRO,48 - 58 (6),30.05.2018,BIAN-ZOL2-CX,BIAN-ZOL2-CX,2020-06-24 20:42:04
101,CENTO 1 NDR,2018-05-17 00:00:00,RD,CENTO 1 NDR,XS - XXL (6),17.05.2018,WIL-CE06-RD,WIL-CE06-RD,2020-06-24 20:42:04
102,AJ62,2018-05-09 00:00:00,RD,AJ-62,45 - 50 (3),09.05.2018,WDN-AJ62-RD,WDN-AJ62-RD,2020-06-24 20:42:04
103,CAPELLA DIVA CAPELLA,2018-05-09 00:00:00,RD,Capella& DIVA Capella,"47,5 - 58,5 (6)",09.05.2018,THOM-CAP-RD,THOM-CAP-RD,2020-06-24 20:42:04
104,NITROGEN DISC,2018-05-07 00:00:00,RD,NITROGEN DISC,XS - XL (5),07.05.2018,AR18-NI02-RD,AR18-NI02-RD,2020-06-24 20:42:04
105,MERX,2018-05-02 00:00:00,RD,MERX,XS - XL (5),02.05.2018,WIBA-MERX-RD,WIBA-MERX-RD,2020-06-24 20:42:04
106,ZERO DISC,2018-04-20 00:00:00,RD,ZERO DISC,XS - XL (5),20.04.2018,GEN-0DI-RD,GEN-0DI-RD,2020-06-24 20:42:04
107,MADONE MY2019RIM BRAKE,2018-04-19 00:00:00,Madone KVF FullCarbon fork,RD,50 - 62 (7),19.04.2018,TREK-051-RD,TREK-051-RD,2020-06-24 20:42:04
108,AERIUM TT 19,2018-04-19 00:00:00,TT,AERIUM TT 19,XS - L (4),19.04.2018,CUBE-AE03-TT,CUBE-AE03-TT,2020-06-24 20:42:04
109,MADONE MY2019DISC BRAKE,2018-04-19 00:00:00,Madone KVF FullCarbon DISC fork,RD,50 - 62 (7),19.04.2018,TREK-052-RD,TREK-052-RD,2020-06-24 20:42:04
110,DEFYADV PRO MY19 DEFY ADV MY19,2018-04-17 00:00:00,RD,DEFY Adv MY19,XS - XL (6),17.04.2018,GIAN-022-RD,GIAN-022-RD,2020-06-24 20:42:04
111,NOAH FAST DISC,2018-04-17 00:00:00,RD,NOAH FAST DISC,XS - XL (5),17.04.2018,RID-021-RD,RID-021-RD,2020-06-24 20:42:04
